filename,label,skin_0,edge_0,skin_1,edge_1,skin_2,edge_2,skin_3,edge_3,skin_4,edge_4,skin_5,edge_5,skin_6,edge_6,skin_7,edge_7,skin_8,edge_8,skin_9,edge_9,skin_10,edge_10,skin_11,edge_11,skin_12,edge_12,skin_13,edge_13,skin_14,edge_14,skin_15,edge_15,skin_16,edge_16,skin_17,edge_17,hand_center_y,hand_center_x
Am_Am_01_seg2.jpg,Am,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.452,0.0,0.682,0.0,0.0,0.0,0.924,0.0,0.633,0.8,0.632,0.0,1.0,0.0,1.0,0.0,0.918,0.0,0.511,0.0,0.511,0.0,0.509,0.0,3.94,2.82
Am_Am_01_seg2_pt1.jpg,Am,0.144,0.0,0.227,0.0,0.105,0.0,0.104,0.0,0.19,0.8,0.106,0.0,0.284,0.8,0.869,0.0,0.047,0.0,0.705,0.0,0.6,0.0,0.103,0.0,0.949,0.0,0.692,0.8,0.638,0.0,0.512,0.0,0.51,0.0,0.261,0.0,2.84,2.53
Am_Am_01_seg2_pt2.jpg,Am,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.452,0.0,0.682,0.0,0.0,0.0,0.924,0.0,0.633,0.8,0.632,0.0,1.0,0.0,1.0,0.0,0.918,0.0,0.511,0.0,0.511,0.0,0.509,0.0,3.94,2.82
Am_Am_01_seg2_pt3.jpg,Am,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.452,0.0,0.682,0.0,0.0,0.0,0.924,0.0,0.633,0.8,0.632,0.0,1.0,0.0,1.0,0.0,0.918,0.0,0.511,0.0,0.511,0.0,0.509,0.0,3.94,2.82
Am_Am_01_seg4.jpg,Am,0.129,0.8,0.152,0.8,0.108,0.8,0.07,0.0,0.237,0.8,0.037,0.0,0.498,0.0,0.66,0.0,0.076,0.0,0.795,0.0,0.356,0.0,0.075,0.0,1.0,0.0,0.816,0.8,0.215,0.0,0.509,0.0,0.497,0.0,0.023,0.0,2.79,2.38
Am_Am_01_seg4_pt1.jpg,Am,0.0,0.0,0.001,0.0,0.0,0.0,0.008,0.0,0.279,0.0,0.0,0.0,0.789,0.0,0.428,0.0,0.027,0.0,1.0,0.0,0.897,0.0,0.169,0.0,1.0,0.0,1.0,0.0,0.796,0.0,0.508,0.0,0.509,0.0,0.313,0.0,3.72,2.17
Am_Am_01_seg4_pt2.jpg,Am,0.129,0.8,0.152,0.8,0.108,0.8,0.07,0.0,0.237,0.8,0.037,0.0,0.498,0.0,0.66,0.0,0.076,0.0,0.795,0.0,0.356,0.0,0.075,0.0,1.0,0.0,0.816,0.8,0.215,0.0,0.509,0.0,0.497,0.0,0.023,0.0,2.79,2.38
Am_Am_01_seg4_pt3.jpg,Am,0.085,0.8,0.225,0.0,0.066,0.0,0.09,0.0,0.004,0.0,0.0,0.0,0.442,0.8,0.647,0.0,0.0,0.0,0.746,0.0,0.481,0.0,0.0,0.0,1.0,0.0,0.642,0.8,0.227,0.0,0.516,0.0,0.492,0.0,0.04,0.0,3.43,1.3
Am_Am_01_seg6.jpg,Am,0.085,0.8,0.044,0.8,0.0,0.0,0.066,0.0,0.431,0.8,0.0,0.0,0.785,0.0,0.394,0.0,0.014,0.0,1.0,0.0,0.997,0.0,0.18,0.0,1.0,0.0,1.0,0.0,0.8,0.0,0.505,0.0,0.504,0.0,0.314,0.0,3.72,2.17
Am_Am_01_seg6_pt1.jpg,Am,0.002,0.0,0.01,0.0,0.001,0.0,0.064,0.0,0.442,0.8,0.0,0.0,0.78,0.0,0.391,0.0,0.011,0.0,1.0,0.0,0.999,0.0,0.188,0.0,1.0,0.0,1.0,0.0,0.799,0.0,0.509,0.0,0.508,0.0,0.325,0.0,3.72,2.17
